名称,影像,位置,试行日期,面积,描述
三江源国家公园,,青海省,2016年3月9日[36],"123,100平方千米",由长江源（可可西里）、黄河源、澜沧江源三个园区构成[15]。该国家公园以自然修复为主，旨在保护冰川雪山、江源河流、湖泊湿地、高寒草甸等源头地区的生态系统，维护和提升水源涵养功能[13]。
海南热带雨林国家公园,,海南省,2019年1月23日[40],"4,400平方千米[40]",包括五指山、鹦哥岭、尖峰岭、霸王岭、吊罗山等5个国家级自然保护区，佳西等3个省级自然保护区，黎母山等4个国家森林公园、阿陀岭等6个省级森林公园与相关国有林场[40]。该国家公园旨在更加有效保护热带雨林生态系统的原真性和完整性[40]。
福建武夷山国家公园,,福建省南平市,2016年3月14日[39],982.59平方千米[13],包括福建武夷山国家级自然保护区、武夷山国家级风景名胜区和九曲溪上游保护地带[13]。该国家公园旨在有效保护当地的生物多样性[13]。
东北虎豹国家公园,,吉林省、黑龙江省,2016年12月5日[38],"14,600平方千米[13]",该国家公园旨在有效保护和恢复东北虎豹野生种群，实现其稳定繁衍生息。并有效解决东北虎豹保护与当地发展之间的矛盾[13]。
大熊猫国家公园,,四川省、陕西省、甘肃省,2017年1月31日[37],"27,000平方千米[13]",该国家公园旨在加强大熊猫栖息地廊道建设，连通原本相互隔离的栖息地，以实现隔离大熊猫种群之间的基因交流[13]。
云南普达措国家公园,,云南省迪庆藏族自治州,2016年10月26日[41],602.1平方千米[13],该国家公园拥有湖泊湿地、森林草甸、河谷溪流、珍稀动植物等丰富的生态资源，原始生态环境保存完好[4]。
湖北神农架国家公园,,湖北省神农架林区,2016年5月14日[42],"1,170平方千米[13]",该国家公园旨在有效保护当地的亚热带森林生态系统和泥炭藓湿地生态系统[13]。
浙江钱江源国家公园,,浙江省开化县,2016年7月15日[43],252平方千米[13],包括古田山国家级自然保护区、钱江源国家森林公园、钱江源省级风景名胜区以及连接自然保护地之间的生态区域[13]。该国家公园旨在有效保护当地的白颈长尾雉、黑麂等濒危物种[13]。
湖南南山国家公园,,湖南省邵阳市城步苗族自治县,2016年8月8日[44],635.94平方千米[13],包括南山国家级风景名胜区、金童山国家级自然保护区、两江峡谷国家森林公园、白云湖国家湿地公园以及连接自然保护地之间的生态区域[13]。该国家公园旨在有效保护当地的候鸟种群和其他生态景观[4]。
北京长城国家公园,,北京市延庆区,2017年1月14日[45],59.91平方千米[13],包括八达岭国家级风景名胜区、十三陵国家级风景名胜区（延庆部分）[13]。该国家公园旨在有效保护当地的人文资源[13]。
祁连山国家公园,,甘肃省、青海省,2017年6月26日[46],"50,000平方千米[13]",包括祁连山国家级自然保护区[4]。该国家公园旨在解决当地局部生态破坏问题十分突出，多个保护地、碎片化管理的问题[4]。 
